cnty_fips,percent_inactive,percent_smoking,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,FIPS_x,NonVetsDisabilty,FIPS_y,VetsDisabilty
6051,19.3,12.5,27.7,6.4,2.9,30.5,6051,450.0,6051,87.0
6059,17.1,10.3,26.0,5.4,2.6,32.0,6059,113741.0,6059,5778.0
6065,20.6,12.7,29.0,6.1,3.0,30.8,6065,115673.0,6065,11353.0
6071,23.6,13.5,28.0,5.8,2.9,29.9,6071,113754.0,6071,9703.0
6073,17.6,10.7,26.8,5.3,2.6,28.6,6073,130990.0,6073,17158.0
6107,24.7,15.4,28.6,6.7,3.4,29.6,6107,25176.0,6107,1330.0
6111,18.7,10.8,28.0,6.1,2.8,31.9,6111,36576.0,6111,2502.0
8007,17.3,13.2,31.7,7.6,3.4,34.9,8007,656.0,8007,52.0
8029,17.4,17.9,35.3,9.3,4.4,34.9,8029,1834.0,8029,333.0
8033,17.2,14.1,34.8,7.8,3.4,35.1,8033,78.0,8033,26.0
8045,16.3,15.2,24.5,5.6,2.6,28.5,8045,2845.0,8045,117.0
8051,16.4,12.0,22.5,4.7,2.2,25.9,8051,502.0,8051,56.0
8053,19.8,12.2,33.0,8.0,3.5,35.8,8053,53.0,8053,0.0
8067,14.4,13.5,27.2,6.1,2.8,28.5,8067,2435.0,8067,199.0
8077,17.3,15.6,28.1,6.9,3.3,30.5,8077,9303.0,8077,1191.0
8079,18.8,11.0,33.4,7.5,3.2,35.7,8079,54.0,8079,0.0
8081,20.9,18.2,29.4,7.1,3.4,31.1,8081,846.0,8081,51.0
8083,17.1,17.2,32.8,8.1,3.8,33.4,8083,1982.0,8083,252.0
8085,19.7,15.5,32.0,8.1,3.7,32.8,8085,2221.0,8085,274.0
8091,18.0,11.0,31.2,7.3,3.1,35.1,8091,241.0,8091,21.0
8097,14.8,10.3,25.2,5.4,2.3,30.5,8097,859.0,8097,35.0
8103,18.1,16.7,28.1,6.8,3.2,30.5,8103,225.0,8103,106.0
8107,16.8,12.6,26.0,5.5,2.5,29.9,8107,953.0,8107,72.0
8111,18.6,15.7,32.0,8.2,3.7,34.7,8111,5.0,8111,0.0
8113,17.7,12.4,25.5,5.4,2.4,29.7,8113,198.0,8113,19.0
16001,17.1,13.1,28.5,5.6,2.5,30.0,16001,22998.0,16001,2771.0
16005,23.2,17.8,30.7,6.4,3.0,29.6,16005,6802.0,16005,696.0
16007,22.2,16.6,34.5,8.5,3.8,32.5,16007,403.0,16007,22.0
16011,20.3,17.0,31.5,7.0,3.3,30.9,16011,3501.0,16011,338.0
16013,16.5,13.0,29.7,7.2,3.2,31.9,16013,1006.0,16013,0.0
16015,16.9,15.1,36.8,9.1,3.9,36.7,16015,324.0,16015,94.0
16019,21.1,15.2,27.3,6.0,2.7,29.5,16019,8120.0,16019,507.0
16023,22.4,17.5,37.7,10.1,4.6,34.7,16023,126.0,16023,19.0
16025,20.9,18.4,38.4,9.5,4.3,35.8,16025,121.0,16025,3.0
16027,24.5,16.7,31.5,6.5,3.1,32.0,16027,16069.0,16027,2260.0
16029,20.1,16.6,32.8,7.3,3.3,32.8,16029,421.0,16029,13.0
16031,24.4,15.7,29.8,7.0,3.3,30.1,16031,1539.0,16031,97.0
16033,18.4,17.9,32.6,8.5,3.9,31.7,16033,61.0,16033,1.0
16037,21.8,15.5,40.2,10.5,4.6,39.4,16037,188.0,16037,26.0
16039,20.5,17.6,29.5,6.7,3.2,29.6,16039,1710.0,16039,666.0
16041,24.0,16.0,29.5,6.7,3.0,31.4,16041,969.0,16041,70.0
16043,22.2,16.3,32.2,7.6,3.4,32.2,16043,1036.0,16043,47.0
16045,25.8,17.2,36.2,8.6,3.9,33.8,16045,1351.0,16045,255.0
16047,23.3,17.0,32.1,8.2,3.8,31.4,16047,1076.0,16047,141.0
16051,19.3,14.9,27.8,5.9,2.7,28.2,16051,1335.0,16051,173.0
